"","GEO","Sex","Age","Degree","VALUE","Year","LFS","pct"
"1","Canada","Males","15 years and over","Total, all education levels",9986.1,"2019","Employment",52.4047922668808
"2","Canada","Females","15 years and over","Total, all education levels",9069.6,"2019","Employment",47.5952077331192
